Source,Target,Followers,Date,Interactions,Post Type
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163285713945725,24463235,Thu Oct 10 2019 20:57:28 GMT+0000,236425,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/444328779550413,24472087,Fri Oct 11 2019 00:46:42 GMT+0000,220814,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163287626775725,24472087,Fri Oct 11 2019 02:51:50 GMT+0000,183306,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321750750725,24495540,Wed Oct 16 2019 22:27:42 GMT+0000,162858,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321787980725,24495540,Wed Oct 16 2019 22:32:35 GMT+0000,131053,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321884225725,24495540,Wed Oct 16 2019 22:51:24 GMT+0000,128082,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163290493125725,24472087,Fri Oct 11 2019 18:27:29 GMT+0000,110654,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163280588505725,24459393,Wed Oct 09 2019 22:56:00 GMT+0000,108989,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163301849840725,24483318,Sun Oct 13 2019 18:02:19 GMT+0000,102856,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163281575305725,24463235,Thu Oct 10 2019 01:40:05 GMT+0000,101579,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163283274935725,24463235,Thu Oct 10 2019 12:29:54 GMT+0000,90063,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163313906815725,24492299,Tue Oct 15 2019 20:46:01 GMT+0000,81254,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163274181185725,24456603,Tue Oct 08 2019 19:06:05 GMT+0000,80872,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163308296525725,24488432,Mon Oct 14 2019 19:58:45 GMT+0000,78729,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163308003350725,24488432,Mon Oct 14 2019 19:14:00 GMT+0000,74832,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163285205100725,24463235,Thu Oct 10 2019 23:45:00 GMT+0000,71979,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163280130750725,24459393,Wed Oct 09 2019 20:38:39 GMT+0000,55946,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163290511225725,24472087,Fri Oct 11 2019 19:56:00 GMT+0000,52058,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163274691090725,24456603,Tue Oct 08 2019 20:52:12 GMT+0000,50209,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321498000725,24495540,Wed Oct 16 2019 21:29:38 GMT+0000,50173,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163270852585725,24456603,Tue Oct 08 2019 02:18:56 GMT+0000,48604,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163274834120725,24456603,Tue Oct 08 2019 21:21:42 GMT+0000,47578,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163313137685725,24492299,Tue Oct 15 2019 20:10:00 GMT+0000,47154,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163290524380725,24472087,Fri Oct 11 2019 22:22:00 GMT+0000,45068,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163296607060725,24479306,Sat Oct 12 2019 20:16:52 GMT+0000,44305,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163306861065725,24488432,Mon Oct 14 2019 15:28:18 GMT+0000,41989,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163318115745725,24495540,Wed Oct 16 2019 16:04:35 GMT+0000,41953,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163287472335725,24472087,Fri Oct 11 2019 02:24:14 GMT+0000,37702,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163279482625725,24459393,Wed Oct 09 2019 18:26:06 GMT+0000,37554,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321100790725,24495540,Wed Oct 16 2019 21:16:00 GMT+0000,36233,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163289607745725,24472087,Fri Oct 11 2019 14:50:38 GMT+0000,35025,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163293137140725,24479306,Sat Oct 12 2019 04:03:36 GMT+0000,34553,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163273467730725,24456603,Tue Oct 08 2019 16:58:38 GMT+0000,34520,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163308113870725,24488432,Mon Oct 14 2019 19:40:00 GMT+0000,33866,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163274032005725,24456603,Tue Oct 08 2019 22:35:00 GMT+0000,32972,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163291282190725,24472087,Fri Oct 11 2019 23:45:00 GMT+0000,32718,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163267648235725,24453803,Mon Oct 07 2019 16:26:02 GMT+0000,32194,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163314661825725,24492299,Tue Oct 15 2019 23:21:27 GMT+0000,31849,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163267107430725,24459393,Wed Oct 09 2019 00:25:00 GMT+0000,31741,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163268589825725,24453803,Mon Oct 07 2019 19:28:00 GMT+0000,31384,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163293140855725,24479306,Sat Oct 12 2019 04:04:36 GMT+0000,31126,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163318252105725,24495540,Wed Oct 16 2019 16:21:17 GMT+0000,30856,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163278455660725,24459393,Wed Oct 09 2019 15:37:32 GMT+0000,28600,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163274745205725,24456603,Tue Oct 08 2019 21:02:47 GMT+0000,26428,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163269465840725,24453803,Mon Oct 07 2019 21:17:57 GMT+0000,24135,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163321368365725,24495540,Wed Oct 16 2019 22:58:00 GMT+0000,23939,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163290856460725,24492299,Tue Oct 15 2019 00:25:00 GMT+0000,22933,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163279353110725,24459393,Wed Oct 09 2019 21:28:00 GMT+0000,22487,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163285295890725,24463235,Thu Oct 10 2019 20:12:00 GMT+0000,21127,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163279169410725,24459393,Wed Oct 09 2019 17:32:04 GMT+0000,19042,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163272577235725,24456603,Tue Oct 08 2019 13:22:54 GMT+0000,18922,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163272931945725,24456603,Tue Oct 08 2019 14:52:58 GMT+0000,18534,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163312828565725,24492299,Tue Oct 15 2019 17:48:00 GMT+0000,18299,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163312645360725,24492299,Tue Oct 15 2019 16:17:20 GMT+0000,17782,Facebook
Diamond And Silk,https://www.facebook.com/DiamondandSilk/posts/1492319610917147,1808334,Tue Oct 08 2019 22:15:45 GMT+0000,15461,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163284398220725,24463235,Thu Oct 10 2019 16:54:21 GMT+0000,14684,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163308633565725,24488432,Mon Oct 14 2019 23:22:00 GMT+0000,13115,Facebook
Donald J. Trump,https://www.facebook.com/DonaldTrump/posts/10163284729865725,24463235,Thu Oct 10 2019 17:58:35 GMT+0000,10542,Facebook
Conservative Values,https://www.facebook.com/ConsValues/posts/2596728470405932,422456,Thu Oct 17 2019 00:30:09 GMT+0000,8026,Facebook
Diamond And Silk,https://www.facebook.com/DiamondandSilk/posts/1491600357655739,1808334,Tue Oct 08 2019 04:08:02 GMT+0000,7260,Facebook
Conservative Renaissance,https://www.facebook.com/TheConservativeRenaissance/posts/498644927387950,165084,Fri Oct 11 2019 16:29:25 GMT+0000,5847,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2500258730061991,235085,Thu Oct 17 2019 02:43:25 GMT+0000,4250,Facebook
Mike Pence,https://www.facebook.com/mikepence/posts/10157031459787862,1277146,Tue Oct 08 2019 02:19:22 GMT+0000,4184,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2486989504722247,231942,Thu Oct 10 2019 22:41:12 GMT+0000,3633,Facebook
Team Trump,https://www.facebook.com/officialteamtrump/posts/2434483056841237,149973,Thu Oct 10 2019 21:01:51 GMT+0000,3458,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/546312896104563,157940,Thu Oct 10 2019 22:42:07 GMT+0000,3291,Facebook
幫港出聲 Silent Majority,https://www.facebook.com/silentmajorityhk/posts/2568827159873041,271196,Sat Oct 12 2019 07:00:00 GMT+0000,2804,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2488482891239575,232350,Fri Oct 11 2019 16:28:46 GMT+0000,2619,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2500244486730082,235085,Thu Oct 17 2019 02:34:48 GMT+0000,2605,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/546852132717306,158136,Fri Oct 11 2019 16:29:12 GMT+0000,2432,Facebook
Conservative Renaissance,https://www.facebook.com/TheConservativeRenaissance/posts/502480633671046,166442,Thu Oct 17 2019 02:40:49 GMT+0000,2427,Facebook
Minnesota Gun Rights,https://www.facebook.com/MinnesotaGunRights/posts/1390043241143550,143452,Wed Oct 09 2019 03:22:37 GMT+0000,2313,Facebook
The Committee to Defend the President,https://www.facebook.com/CommitteeToDefendThePresident/posts/1373834689443463,885288,Fri Oct 11 2019 01:34:33 GMT+0000,2091,Facebook
Women for Trump,https://www.facebook.com/WomenforTrump20/posts/779014312515954,46686,Fri Oct 11 2019 13:34:18 GMT+0000,1928,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2500251863396011,235085,Thu Oct 17 2019 02:39:15 GMT+0000,1896,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/547202846015568,158325,Sat Oct 12 2019 04:42:39 GMT+0000,1738,Facebook
Trump 2020,https://www.facebook.com/ElectTrump2020/posts/1509244245891674,711725,Fri Oct 11 2019 00:51:47 GMT+0000,1641,Facebook
Team Trump,https://www.facebook.com/officialteamtrump/posts/2432789830343893,148349,Tue Oct 08 2019 20:56:45 GMT+0000,1569,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2489535921134272,232825,Sat Oct 12 2019 04:42:12 GMT+0000,1497,Facebook
Conservative Renaissance,https://www.facebook.com/TheConservativeRenaissance/posts/498123894106720,164872,Thu Oct 10 2019 22:41:35 GMT+0000,1481,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/550938418975344,159219,Thu Oct 17 2019 02:42:55 GMT+0000,1350,Facebook
LEXIT,https://www.facebook.com/LEXITMovement/posts/446111942923967,137251,Thu Oct 10 2019 21:31:44 GMT+0000,1321,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/547206006015252,158325,Sat Oct 12 2019 04:49:52 GMT+0000,1306,Facebook
Team Trump,https://www.facebook.com/officialteamtrump/posts/2437063229916553,157239,Sun Oct 13 2019 18:02:36 GMT+0000,1254,Facebook
Conservative Renaissance,https://www.facebook.com/TheConservativeRenaissance/posts/499013600684416,165290,Sat Oct 12 2019 04:42:24 GMT+0000,1222,Facebook
Sid Miller,https://www.facebook.com/MillerForTexas/posts/2648828248672663,821216,Wed Oct 16 2019 16:31:04 GMT+0000,1186,Facebook
Red Symposium,https://www.facebook.com/RedSymposium/posts/550936825642170,159219,Thu Oct 17 2019 02:40:39 GMT+0000,1174,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2485202431567621,231942,Thu Oct 10 2019 01:39:22 GMT+0000,1139,Facebook
Trump 2020,https://www.facebook.com/GodEmperorTrump2020/posts/2487179324703265,232350,Fri Oct 11 2019 01:13:04 GMT+0000,1120,Facebook
Minnesota Gun Rights,https://www.facebook.com/MinnesotaGunRights/posts/1391698744311333,143501,Fri Oct 11 2019 00:56:22 GMT+0000,1022,Facebook
The Hispanic Conservative,https://www.facebook.com/thc1776/posts/451574542383641,118429,Thu Oct 10 2019 21:31:51 GMT+0000,1005,Facebook
Team Trump,https://www.facebook.com/officialteamtrump/posts/2436282093328000,155367,Sat Oct 12 2019 20:17:20 GMT+0000,999,Facebook
Conservative Renaissance,https://www.facebook.com/TheConservativeRenaissance/posts/497542544164855,164872,Thu Oct 10 2019 01:39:50 GMT+0000,990,Facebook
QCN,https://www.facebook.com/QuotidianConservativeNews/posts/2692885867434668,148415,Sat Oct 12 2019 04:43:09 GMT+0000,966,Facebook
Bill O'Reilly fan group,https://www.facebook.com/groups/142529582942633/permalink/745151309347121,109110,Thu Oct 10 2019 22:28:01 GMT+0000,955,Facebook
