"Anon_Clara_1864" "Barclay_Ladies_1917" "Bennet_Babylon_1902" "Blackmore_Erema_1877" "Burnett_Garden_1911" "Cbronte_Jane_1847" "Chesterton_Innocence_1911" "Conrad_Almayer_1895" "Corelli_Innocent_1914" "Dickens_Bleak_1853" "Doyle_Hound_1902" "Eliot_Adam_1859" "Ford_Girl_1907" "Forster_Angels_1905" "Galsworthy_Man_1906" "Gaskell_Lovers_1863" "Gissing_Unclassed_1884" "Haggard_Mines_1885" "Hardy_Jude_1895" "James_Ambassadors_1903" "Kipling_Captains_1896" "Lawrence_Peacock_1911" "Lee_Albany_1884" "Lytton_Kenelm_1873" "Meredith_Feverel_1859" "Morris_Roots_1890" "Schreiner_Farm_1883" "Stevenson_Arrow_1888" "Thackeray_Esmond_1852" "Trollope_Phineas_1869" "Ward_Ashe_1905" "Wcollins_Basil_1852" "Woolf_Lighthouse_1927"
"the" 4.81368275974307 7.47226131640101 5.69721524933574 4.08456781245506 3.40645511523466 4.18721976089826 6.74667408568972 7.47988935168993 4.12358123723212 4.21015623901335 5.59928684361019 4.65575686190858 4.81395415554982 4.72429897175843 5.06656669470758 4.43236178277349 4.50957474061739 5.96929867106412 4.87684187376292 4.35316278787142 5.79947637075964 5.79424358520331 6.39453398738612 5.20562968378724 4.85373639976546 7.3377191561072 6.12676265989223 6.52219965357824 5.45395166557805 3.92673531597385 5.15955529679226 5.16142881676112 4.98442367601246
"and" 3.73193915382933 2.80987137106013 2.73190352461062 3.72501078671077 4.01840793564625 3.53682455362153 3.04390712732055 3.27334583955995 3.67714914460141 3.57816872688408 2.73656944864938 3.13521634894063 2.11435292767593 3.28315728287667 2.6946710069127 3.44007319304666 2.77955680799283 3.43874284605684 3.09750934682208 2.0975876526706 3.00050856077301 3.39010334503075 3.77619927374658 2.9840457477087 3.20956651010726 6.22938069157728 3.59230334123905 4.07107876733666 4.40513539848594 2.66458393363563 3.42329978652028 2.89627339859179 3.49139354264467
"to" 2.49050232165471 2.84014663044546 2.61593341260404 3.14013135816674 2.46878547105562 2.75335752497101 1.81470989933735 2.28927538075101 2.31182414046047 2.83508416656119 2.3665354728025 2.97523267191289 3.21599678687208 2.6557896213746 2.58860319666435 2.88066919356947 2.99330728833099 2.41779028033757 2.96417967890917 2.86929574041441 2.1133525456292 2.14980200251119 2.92253296808307 2.834686790088 3.12309359804311 2.16352853485433 2.26057099760844 2.14706725317449 2.59607456821321 3.34817027859082 2.3912501039674 3.17104585265327 2.28692019466816
"of" 2.51491402503217 2.95388341570386 2.74511530952276 2.95436022819886 1.41390712135419 2.32955851151953 2.83398249785017 3.91561476582621 2.66597256730003 2.39519610738444 2.67938237965486 2.0788603597546 3.05820925495596 1.97630835220781 3.09791156139132 2.39498104822899 2.66907903163827 3.03254437869822 2.40062128876182 2.93613659840797 1.86283927596014 2.11760728888317 5.10288590176467 3.03679139358174 2.53318249930407 3.32760799818518 1.81599865040537 2.61062443145709 2.94246768960606 2.49283428623425 2.85841026920624 2.79323372831874 2.29122701236057
"a" 2.11720669084103 1.68477727228095 2.5307907987258 2.14236061172635 2.14060109559295 2.38727640994672 2.85674540947949 2.10327175606499 2.50901146052704 2.14150107581319 2.19497426581895 2.24023519919127 2.38689502825831 1.88009861498066 2.44047401338649 2.16024049143903 2.21275778147816 2.30138713745271 2.2013140532219 1.92137084523303 2.63321466915296 2.23109365442194 2.36032362871886 2.60177037365851 2.22164310378526 1.42204362057232 1.96782804576714 2.36264626350484 2.23843839342121 1.85853591956202 2.31916604286229 1.62201614288168 1.95098841466041
"i" 2.87549522700341 1.15946060943279 2.02433904376037 2.51570065679083 1.46079060356314 3.82915502065553 1.11411806363498 0.688372388795269 1.69028970761064 2.60332728627881 2.46408988461668 1.30908382680955 0.814757437530482 1.52332083942996 0.608975531253429 0.783688406744216 1.71160496989881 1.9024638665244 1.9978832197053 1.06823843956979 0.907875157748018 2.29709281735939 0.500095559661082 1.86437579967099 1.38771255456382 0.888615225070486 1.69096267775451 1.47665391469053 0.937456500091015 1.92981391892507 1.17344534087444 3.29898677657565 0.124897713079805
"in" 1.41384448727794 1.63159100579321 1.46063622084232 1.18414113811784 1.29052953659379 1.47608180977677 1.77171328848197 1.90931925852914 1.43236869296357 1.76292733690531 1.53227705452955 1.44959123011217 1.56353099807786 1.16854743340482 1.68519805420431 1.52346098549209 1.76684385807609 1.49505286642739 1.65356278865186 1.64367746247797 1.31095665932079 1.45842052734941 2.00197489966236 1.62101470089041 1.30538560403698 1.24833911268108 1.4121126117633 1.53023713691136 1.58152284481374 1.52148197576548 1.63090188250298 1.83153013910355 1.51743543362476
"he" 1.07716641153046 1.04981507544267 1.57807430895025 1.27702670310178 2.1850170261067 1.01647632230102 1.96013961252466 1.94747384820832 1.58696355189576 1.29013205079526 1.53732297238201 1.24833640161931 2.41271480620822 2.17674530476439 2.6379795910903 1.59247157234348 1.3729665684642 0.870598506159666 1.7257257532439 2.45305948836361 1.4635248912245 1.83509867679727 1.09415811938587 1.19434942684806 1.99065381813444 1.20296853226172 1.906302408431 1.54394447282832 1.44446467004315 2.25094405435327 1.39593556793923 0.89644513137558 1.98687856209713
"was" 1.32942067976422 0.727424475501587 1.35200598934249 1.29380603096985 1.69520801460791 1.34942308822822 1.60352066366533 0.995198880798703 1.07112152260161 0.932933946476536 1.35062401184109 1.40739263704109 1.46312075049488 1.82397626826482 1.60016093047072 1.47536269768658 1.66517228128603 1.16766902706373 1.3161150208929 1.57805189281157 1.09246388276732 1.28859341296159 1.11008472956616 0.854375016319816 1.32019260952742 1.10444955763684 1.05089757966082 1.11652481650862 1.46266770887987 1.557120975447 1.35920042141451 1.33522239395501 1.95816644414775
"that" 1.07970929729895 0.999083559715903 1.55458669132867 1.32796394841555 0.962345161131126 0.884473350898101 1.38094997217866 0.968172713109281 0.923625407191816 1.36522803020715 1.9056749756114 1.18666153482311 2.25205841007545 1.13046441241907 1.27007058995648 0.92850607763691 1.02712309465864 1.30711029197788 1.22402133274687 1.79923436835389 0.922943625096532 0.49096938282734 1.0575269159712 1.45128861268507 1.15435414803452 1.43695109699582 1.09356858620039 0.786302633054617 1.28813268944545 2.23160800133457 1.08680584435388 1.23475871543878 1.47436725670069
