"Guillaume_1000_lines" "Jean_1000_lines"
"et" 4.4120142541999 4.06473816389173
"de" 2.84235533684032 2.00911543112269
"ne" 1.56965891735958 2.18584317737885
"la" 1.86662141523842 1.59985117663473
"en" 1.52723570337689 1.78588038322017
"qui" 1.43390463261497 1.33010882708585
"que" 1.16239606312574 1.61845409729328
"il" 0.839979636857288 1.72077016091526
"le" 1.17088070592228 1.31150590642731
"qu" 1.03512642117767 1.46032927169566
"l" 1.01815713558459 1.26499860478095
"d" 1.2642117766842 0.902241651939354
"si" 0.984218564398439 1.13477816017115
"à" 0.924826064822671 1.10687377918333
"les" 1.00118784999152 0.967351874244256
"s" 0.755133208891906 1.18128546181751
"n" 0.856948922450365 0.874337270951539
"est" 0.83149499406075 0.855734350292996
"bien" 0.789071780078059 0.697609524695377
"par" 0.653317495333446 0.837131429634453
"vous" 0.330901069064992 1.1161752395126
"a" 0.738163923298829 0.613896381731932
"li" 0.534532496181911 0.781322667658822
"se" 0.415747497030375 0.911543112268626
"car" 0.559986424571526 0.734815366012464
"sa" 0.644832852536908 0.60459492140266
"ce" 0.58544035296114 0.613896381731932
"son" 0.644832852536908 0.539484699097758
"elle" 0.602409638554217 0.520881778439215
"je" 0.755133208891906 0.344154032183053
"p" 0.534532496181911 0.520881778439215
"tout" 0.653317495333446 0.390661333829411
"plus" 0.568471067368064 0.418565714817226
"un" 0.559986424571526 0.399962794158683
"ou" 0.271508569489225 0.651102223049019
"tant" 0.296962497878839 0.567389080085573
"sans" 0.322416426268454 0.4929773974514
"el" 0.373324283047684 0.418565714817226
"me" 0.364839640251145 0.418565714817226
"une" 0.543017138978449 0.167426285926891
"moult" 0.559986424571526 0.139521904939075
"des" 0.398778211437298 0.297646730536694
"était" 0.619378924147293 0.0558087619756302
"m" 0.39029356864076 0.297646730536694
"ses" 0.296962497878839 0.353455492512324
"ces" 0.24605464109961 0.390661333829411
"pour" 0.186662141523842 0.446470095805041
"quant" 0.237569998303071 0.38135987350014
"c" 0.407262854233837 0.186029206585434
"ele" 0.373324283047684 0.223235047902521
"fait" 0.263023926692686 0.344154032183053
"mais" 0.220600712709995 0.390661333829411
"or" 0.203631427116918 0.390661333829411
"por" 0.169692855930765 0.409264254487955
"lors" 0.220600712709995 0.344154032183053
"tous" 0.19514678432038 0.362756952841596
"avoit" 0.466655353809605 0.0465073016463585
"pas" 0.263023926692686 0.260440889219607
"au" 0.313931783471916 0.195330666914706
"faire" 0.229085355506533 0.279043809878151
"lui" 0.152723570337689 0.362756952841596
"ot" 0.424232139826913 0.0651102223049019
"où" 0.271508569489225 0.195330666914706
"cum" 0.229085355506533 0.232536508231792
"mès" 0.212116069913457 0.251139428890336
"lor" 0.152723570337689 0.306948190865966
"comme" 0.220600712709995 0.213933587573249
"j" 0.305447140675378 0.11161752395126
"fu" 0.347870354658069 0.0465073016463585
"ils" 0.0763617851688444 0.344154032183053
"du" 0.19514678432038 0.204632127243977
"leur" 0.152723570337689 0.251139428890336
"gens" 0.322416426268454 0.0465073016463585
"soit" 0.110300356354997 0.279043809878151
"estre" 0.169692855930765 0.195330666914706
"grant" 0.220600712709995 0.139521904939075
"quand" 0.152723570337689 0.213933587573249
"i" 0.212116069913457 0.139521904939075
"ni" 0.161208213134227 0.195330666914706
"puis" 0.178177498727304 0.176727746256162
"toute" 0.203631427116918 0.148823365268347
"ung" 0.279993212285763 0.0651102223049019
"estoit" 0.322416426268454 0.0093014603292717
"grand" 0.19514678432038 0.139521904939075
"nul" 0.186662141523842 0.148823365268347
"cele" 0.169692855930765 0.158124825597619
"dont" 0.135754284744612 0.195330666914706
"autre" 0.178177498727304 0.139521904939075
"on" 0.19514678432038 0.120918984280532
"robe" 0.254539283896148 0.0558087619756302
"doit" 0.0254539283896148 0.288345270207423
"amour" 0.0933310707619209 0.195330666914706
"tel" 0.0848464279653827 0.204632127243977
"déduit" 0.263023926692686 0
"chose" 0.118784999151536 0.148823365268347
"jamais" 0.101815713558459 0.167426285926891
"mon" 0.203631427116918 0.0558087619756302
"sur" 0.178177498727304 0.0837131429634453
"cil" 0.0678771423723061 0.195330666914706
"as" 0.0933310707619209 0.158124825597619
"rien" 0.127269641948074 0.120918984280532
"ains" 0.127269641948074 0.11161752395126
"amant" 0.0933310707619209 0.148823365268347
"comment" 0.0933310707619209 0.148823365268347
"femme" 0.0254539283896148 0.223235047902521
"non" 0.152723570337689 0.0837131429634453
"trop" 0.110300356354997 0.130220444609804
"avait" 0.161208213134227 0.0651102223049019
"beau" 0.19514678432038 0.0279043809878151
"iert" 0.169692855930765 0.0558087619756302
"jà" 0.0509078567792296 0.186029206585434
